MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,FailureReason
108,B4_K04_I01-02-08-09,Branch4,PowerREV,4,3,1/2/8/9,0/45/315/360,3,13.5832340796465,1,0,
109,B4_K04_I01-03-04-05,Branch4,PowerREV,4,4,1/3/4/5,0/90/135/180,3,2.86467557480933,1,0,
110,B4_K04_I01-03-04-06,Branch4,PowerREV,4,4,1/3/4/6,0/90/135/225,3,1.71198246026788,1,0,
111,B4_K04_I01-03-04-07,Branch4,PowerREV,4,4,1/3/4/7,0/90/135/270,3,1.84282769753824,1,0,
112,B4_K04_I01-03-04-08,Branch4,PowerREV,4,4,1/3/4/8,0/90/135/315,3,3.20041258076506,1,0,
113,B4_K04_I01-03-04-09,Branch4,PowerREV,4,3,1/3/4/9,0/90/135/360,3,5.74324765659698,1,0,
114,B4_K04_I01-03-05-06,Branch4,PowerREV,4,4,1/3/5/6,0/90/180/225,3,1.84282769753824,1,0,
115,B4_K04_I01-03-05-07,Branch4,PowerREV,4,4,1/3/5/7,0/90/180/270,3,1.4142135623731,1,0,
116,B4_K04_I01-03-05-08,Branch4,PowerREV,4,4,1/3/5/8,0/90/180/315,3,1.84282769753824,1,0,
117,B4_K04_I01-03-05-09,Branch4,PowerREV,4,3,1/3/5/9,0/90/180/360,3,2.63912204644935,1,0,
118,B4_K04_I01-03-06-07,Branch4,PowerREV,4,4,1/3/6/7,0/90/225/270,3,1.84282769753824,1,0,
119,B4_K04_I01-03-06-08,Branch4,PowerREV,4,4,1/3/6/8,0/90/225/315,3,1.71198246026788,1,0,
120,B4_K04_I01-03-06-09,Branch4,PowerREV,4,3,1/3/6/9,0/90/225/360,3,1.96630756754375,1,0,
121,B4_K04_I01-03-07-08,Branch4,PowerREV,4,4,1/3/7/8,0/90/270/315,3,2.86467557480933,1,0,
122,B4_K04_I01-03-07-09,Branch4,PowerREV,4,3,1/3/7/9,0/90/270/360,3,2.6180339887499,1,0,
123,B4_K04_I01-03-08-09,Branch4,PowerREV,4,3,1/3/8/9,0/90/315/360,3,5.90198950474449,1,0,
124,B4_K04_I01-04-05-06,Branch4,PowerREV,4,4,1/4/5/6,0/135/180/225,3,2.03950773330884,1,0,
125,B4_K04_I01-04-05-07,Branch4,PowerREV,4,4,1/4/5/7,0/135/180/270,3,1.84282769753824,1,0,
126,B4_K04_I01-04-05-08,Branch4,PowerREV,4,4,1/4/5/8,0/135/180/315,3,2.41421356237309,1,0,
