MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,ResponseRecoverable,LocationIndex,Location,DoaValid,FailureReason,AzimuthDeg,ElevationDeg,Ux,Uy,Uz,AngularErrorDeg,PeakScore,FrequencyCount,ValidFraction
26,B4_K03_I01-06-07,Branch4,PowerREV,3,3,1/6/7,0/225/270,1,3,Location3,1,,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.624358205131244,21,1
26,B4_K03_I01-06-07,Branch4,PowerREV,3,3,1/6/7,0/225/270,1,4,Location4,1,,69.3482897668617,1.86244079953198,0.3525,0.935247293500495,0.0324999999999999,5.19130792057805,0.417866103216309,20,0.8671875
27,B4_K03_I01-06-08,Branch4,PowerREV,3,3,1/6/8,0/225/315,1,1,Location1,1,,122.416168779998,-8.62692655867863,-0.53,0.834625664594613,-0.15,11.3558831209777,0.411411139911611,21,0.764880952380952
27,B4_K03_I01-06-08,Branch4,PowerREV,3,3,1/6/8,0/225/315,1,2,Location2,1,,89.1404639162468,-0.716215896194936,0.0149999999999999,0.99980935682759,-0.0124999999999999,37.9907910165599,0.155498972968775,21,0.729166666666667
27,B4_K03_I01-06-08,Branch4,PowerREV,3,3,1/6/8,0/225/315,1,3,Location3,1,,95.743782785421,2.29244277595588,-0.1,0.994183081730925,0.0399999999999999,8.16867893876482,0.591284437974435,21,1
27,B4_K03_I01-06-08,Branch4,PowerREV,3,3,1/6/8,0/225/315,1,4,Location4,1,,69.3482897668617,1.86244079953198,0.3525,0.935247293500495,0.0324999999999999,5.19130792057805,0.407450463214735,21,0.875
28,B4_K03_I01-06-09,Branch4,PowerREV,3,2,1/6/9,0/225/360,0,1,Location1,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
28,B4_K03_I01-06-09,Branch4,PowerREV,3,2,1/6/9,0/225/360,0,2,Location2,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
28,B4_K03_I01-06-09,Branch4,PowerREV,3,2,1/6/9,0/225/360,0,3,Location3,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
28,B4_K03_I01-06-09,Branch4,PowerREV,3,2,1/6/9,0/225/360,0,4,Location4,0,PowerDesignRankBelow3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
29,B4_K03_I01-07-08,Branch4,PowerREV,3,3,1/7/8,0/270/315,1,1,Location1,1,,122.033361752318,-8.19253640609033,-0.525,0.83908804663158,-0.1425,10.8183338646928,0.274433696973595,21,0.720238095238095
